collection,method,query,doc
users,createIndex,[object Object],"{""unique"":true,""background"":true}"
users,createIndex,[object Object],"{""unique"":true,""background"":true}"
users,findOne,[object Object],"{""projection"":{}}"
users,findOne,[object Object],"{""projection"":{}}"
users,findOne,[object Object],"{""projection"":{}}"
users,findOne,[object Object],"{""projection"":{}}"
tokens,insertOne,[object Object],"{""session"":null}"
users,insertOne,[object Object],"{""session"":null}"
users,findOne,[object Object],"{""projection"":{}}"
users,findOne,[object Object],"{""projection"":{""email"":1,""name"":1}}"
